"D"	"H"	"P"
"ENSG00000013374"	FALSE	FALSE	FALSE
"ENSG00000013375"	FALSE	FALSE	FALSE
"ENSG00000013392"	FALSE	FALSE	FALSE
"ENSG00000013441"	FALSE	FALSE	FALSE
"ENSG00000013503"	FALSE	FALSE	FALSE
"ENSG00000013523"	FALSE	FALSE	FALSE
"ENSG00000013561"	TRUE	FALSE	FALSE
"ENSG00000013563"	FALSE	TRUE	FALSE
"ENSG00000013573"	FALSE	FALSE	FALSE
"ENSG00000013583"	FALSE	FALSE	FALSE
"ENSG00000013588"	TRUE	TRUE	FALSE
"ENSG00000013619"	FALSE	TRUE	FALSE
"ENSG00000013725"	TRUE	TRUE	FALSE
"ENSG00000013810"	FALSE	FALSE	FALSE
"ENSG00000014123"	FALSE	FALSE	FALSE
"ENSG00000014138"	TRUE	TRUE	FALSE
"ENSG00000014164"	FALSE	FALSE	FALSE
"ENSG00000014216"	FALSE	FALSE	FALSE
"ENSG00000014641"	FALSE	FALSE	FALSE
"ENSG00000014824"	FALSE	FALSE	FALSE
"ENSG00000014914"	TRUE	TRUE	FALSE
"ENSG00000014919"	FALSE	FALSE	FALSE
"ENSG00000015133"	FALSE	FALSE	FALSE
"ENSG00000015153"	FALSE	FALSE	FALSE
"ENSG00000015171"	FALSE	FALSE	FALSE
"ENSG00000015285"	FALSE	FALSE	FALSE
"ENSG00000015475"	TRUE	TRUE	TRUE
"ENSG00000015479"	FALSE	FALSE	FALSE
"ENSG00000015520"	TRUE	TRUE	FALSE
"ENSG00000015532"	FALSE	FALSE	FALSE
"ENSG00000015676"	FALSE	FALSE	FALSE
"ENSG00000016391"	TRUE	TRUE	TRUE
"ENSG00000016402"	TRUE	TRUE	FALSE
"ENSG00000016864"	FALSE	FALSE	FALSE
"ENSG00000017260"	FALSE	FALSE	FALSE
"ENSG00000017373"	TRUE	TRUE	FALSE
"ENSG00000017427"	FALSE	FALSE	FALSE
"ENSG00000017483"	FALSE	FALSE	FALSE
"ENSG00000017621"	FALSE	FALSE	FALSE
"ENSG00000017797"	FALSE	FALSE	FALSE
"ENSG00000018189"	FALSE	FALSE	FALSE
"ENSG00000018236"	FALSE	FALSE	FALSE
"ENSG00000018280"	TRUE	TRUE	TRUE
"ENSG00000018408"	FALSE	FALSE	FALSE
"ENSG00000018510"	FALSE	FALSE	FALSE
"ENSG00000018610"	FALSE	FALSE	FALSE
"ENSG00000018625"	TRUE	TRUE	FALSE
"ENSG00000018699"	FALSE	FALSE	FALSE
"ENSG00000018869"	FALSE	FALSE	FALSE
"ENSG00000019102"	FALSE	FALSE	FALSE
"ENSG00000019144"	FALSE	FALSE	FALSE
"ENSG00000019169"	TRUE	TRUE	FALSE
"ENSG00000019485"	FALSE	FALSE	FALSE
"ENSG00000019505"	TRUE	TRUE	TRUE
"ENSG00000019549"	FALSE	FALSE	FALSE
"ENSG00000019582"	TRUE	TRUE	FALSE
"ENSG00000019991"	FALSE	TRUE	FALSE
