"DEgenes_DCM"	"DEgenes_HCM"	"DEgenes_PPCM"	"DEgenes_IntDCM"	"DEgenes_IntHCM"
"ENSG00000263812"	"ENSG00000182667"	"ENSG00000168621"	NA	NA
"ENSG00000266588"	"ENSG00000101425"	"ENSG00000162882"	NA	NA
"ENSG00000182103"	"ENSG00000157150"	"ENSG00000160200"	NA	NA
"ENSG00000198542"	"ENSG00000126861"	"ENSG00000124479"	NA	NA
"ENSG00000106366"	"ENSG00000272970"	"ENSG00000134201"	NA	NA
"ENSG00000144152"	"ENSG00000246100"	"ENSG00000165617"	NA	NA
"ENSG00000104921"	"ENSG00000261578"	"ENSG00000110900"	NA	NA
"ENSG00000121933"	"ENSG00000213279"	"ENSG00000160111"	NA	NA
"ENSG00000211899"	"ENSG00000108576"	"ENSG00000117069"	NA	NA
"ENSG00000135406"	"ENSG00000128045"	"ENSG00000179270"	NA	NA
"ENSG00000145824"	"ENSG00000120057"	"ENSG00000178031"	NA	NA
"ENSG00000169884"	"ENSG00000188488"	"ENSG00000187867"	NA	NA
"ENSG00000128262"	"ENSG00000228109"	"ENSG00000196664"	NA	NA
"ENSG00000211890"	"ENSG00000179772"	"ENSG00000146090"	NA	NA
"ENSG00000118298"	"ENSG00000123572"	"ENSG00000237803"	NA	NA
"ENSG00000178343"	"ENSG00000156414"	"ENSG00000084636"	NA	NA
"ENSG00000084636"	"ENSG00000189350"	"ENSG00000205795"	NA	NA
"ENSG00000090530"	"ENSG00000164483"	"ENSG00000106003"	NA	NA
"ENSG00000167646"	"ENSG00000172543"	"ENSG00000211448"	NA	NA
"ENSG00000249307"	"ENSG00000237463"	"ENSG00000168077"	NA	NA
"ENSG00000183918"	"ENSG00000137959"	"ENSG00000134042"	NA	NA
"ENSG00000258274"	"ENSG00000139364"	"ENSG00000146592"	NA	NA
"ENSG00000163898"	"ENSG00000145861"	"ENSG00000089127"	NA	NA
"ENSG00000107518"	"ENSG00000245164"	"ENSG00000145287"	NA	NA
"ENSG00000164488"	"ENSG00000236908"	"ENSG00000156049"	NA	NA
"ENSG00000135678"	"ENSG00000116983"	"ENSG00000259362"	NA	NA
"ENSG00000174899"	"ENSG00000140459"	"ENSG00000171502"	NA	NA
"ENSG00000123243"	"ENSG00000010932"	"ENSG00000187955"	NA	NA
"ENSG00000259419"	"ENSG00000137331"	"ENSG00000135406"	NA	NA
"ENSG00000142765"	"ENSG00000161647"	"ENSG00000143196"	NA	NA
"ENSG00000172458"	"ENSG00000205795"	"ENSG00000091986"	NA	NA
"ENSG00000114654"	"ENSG00000122176"	"ENSG00000101311"	NA	NA
"ENSG00000175832"	"ENSG00000095587"	"ENSG00000117154"	NA	NA
"ENSG00000079931"	"ENSG00000272668"	"ENSG00000118777"	NA	NA
"ENSG00000167371"	"ENSG00000174469"	"ENSG00000161888"	NA	NA
"ENSG00000224259"	"ENSG00000134201"	"ENSG00000123243"	NA	NA
"ENSG00000211893"	"ENSG00000130513"	"ENSG00000178878"	NA	NA
"ENSG00000016391"	"ENSG00000132821"	"ENSG00000137501"	NA	NA
"ENSG00000246430"	"ENSG00000225096"	"ENSG00000180644"	NA	NA
"ENSG00000168077"	"ENSG00000211829"	"ENSG00000134321"	NA	NA
