"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::score","stringdb::textmining"
"9.889834851234205","pp","CD8A (pp) CD3G","false","pp","CD8A (pp) CD3G","0.293",,"0.9",,"0.961","0.496"
"120.18554380433987","pp","ITGAL (pp) CD2","false","pp","ITGAL (pp) CD2","0.335",,,,"0.807","0.722"
"38.266305483906734","pp","ITGAL (pp) RUNX3","false","pp","ITGAL (pp) RUNX3","0.163",,"0.9",,"0.931","0.244"
"6.0","pp","CD74 (pp) HLA-DOA","false","pp","CD74 (pp) HLA-DOA","0.173",,"0.9","0.186","0.945","0.29"
"6.0","pp","CD74 (pp) HLA-DMA","false","pp","CD74 (pp) HLA-DMA","0.525",,"0.9","0.472","0.989","0.641"
"24.590765890238288","pp","CD74 (pp) HLA-DRA","false","pp","CD74 (pp) HLA-DRA","0.924",,"0.9","0.889","0.999","0.574"
"26.884322395575435","pp","CD74 (pp) CXCR4","false","pp","CD74 (pp) CXCR4","0.098",,,"0.379","0.832","0.725"
"19.934145823947976","pp","CD74 (pp) HLA-DPA1","false","pp","CD74 (pp) HLA-DPA1","0.825",,"0.9","0.47","0.995","0.547"
"6.0","pp","CD74 (pp) HLA-DMB","false","pp","CD74 (pp) HLA-DMB","0.631",,"0.9","0.379","0.985","0.445"
"24.590765890238288","pp","CD74 (pp) HLA-DPB1","false","pp","CD74 (pp) HLA-DPB1","0.35",,"0.9","0.411","0.975","0.424"
"9.666017316017316","pp","IL2RG (pp) CD8A","false","pp","IL2RG (pp) CD8A","0.12",,"0.9",,"0.934","0.311"
"6.218398268398269","pp","IL2RG (pp) CD3G","false","pp","IL2RG (pp) CD3G","0.22",,"0.9",,"0.946","0.367"
"33.406060606060606","pp","SLAMF6 (pp) SH2D1A","false","pp","SLAMF6 (pp) SH2D1A","0.119",,"0.9","0.393","0.982","0.706"
"45.92727272727274","pp","SLAMF6 (pp) CD48","false","pp","SLAMF6 (pp) CD48","0.2",,,,"0.758","0.709"
"46.14285714285714","pp","LCK (pp) SKAP1","false","pp","LCK (pp) SKAP1","0.157",,,"0.316","0.812","0.7"
"29.305799755799754","pp","LCK (pp) CD5","false","pp","LCK (pp) CD5","0.259",,,"0.38","0.869","0.739"
"13.0","pp","LCK (pp) CD3E","false","pp","LCK (pp) CD3E","0.572",,"0.9","0.379","0.987","0.591"
"17.49597069597069","pp","LCK (pp) CD247","false","pp","LCK (pp) CD247","0.347",,"0.9","0.435","0.991","0.802"
"65.2643623199657","pp","LCK (pp) CD2","false","pp","LCK (pp) CD2","0.403",,,"0.379","0.907","0.77"
"79.14025974025976","pp","LCK (pp) SH2D1A","false","pp","LCK (pp) SH2D1A","0.275",,,"0.525","0.77","0.385"
"24.148701298701297","pp","LCK (pp) IL2RG","false","pp","LCK (pp) IL2RG","0.228",,"0.9",,"0.945","0.349"
"90.28571428571428","pp","LCK (pp) RHOH","false","pp","LCK (pp) RHOH","0.196",,,"0.16","0.725","0.625"
"40.74894271173651","pp","LCK (pp) HLA-DRA","false","pp","LCK (pp) HLA-DRA","0.086",,"0.9",,"0.916","0.157"
"31.82578739997745","pp","LCK (pp) CD8A","false","pp","LCK (pp) CD8A","0.216",,"0.9","0.889","0.994","0.389"
"134.88432239557537","pp","LCK (pp) CXCR4","false","pp","LCK (pp) CXCR4","0.091",,"0.9","0.072","0.955","0.53"
"42.939392727761984","pp","LCK (pp) HLA-DPA1","false","pp","LCK (pp) HLA-DPA1","0.083",,"0.9",,"0.909","0.09"
"40.74894271173651","pp","LCK (pp) HLA-DPB1","false","pp","LCK (pp) HLA-DPB1","0.069",,"0.9",,"0.912","0.136"
"14.019047619047619","pp","LCK (pp) CD3G","false","pp","LCK (pp) CD3G","0.453",,"0.9","0.05","0.969","0.477"
"76.25454545454545","pp","LCK (pp) CD48","false","pp","LCK (pp) CD48","0.157",,,"0.379","0.816","0.677"
"3.495970695970696","pp","CD3E (pp) CD247","false","pp","CD3E (pp) CD247","0.554",,"0.9","0.514","0.991","0.662"
"25.74323434962912","pp","CD3E (pp) CD2","false","pp","CD3E (pp) CD2","0.859",,,,"0.91","0.389"
"8.348701298701297","pp","CD3E (pp) IL2RG","false","pp","CD3E (pp) IL2RG","0.35",,"0.9",,"0.954","0.359"
"19.212146174939974","pp","CD3E (pp) HLA-DRA","false","pp","CD3E (pp) HLA-DRA","0.156",,"0.9",,"0.934","0.291"
"9.821653033052387","pp","CD3E (pp) CD8A","false","pp","CD3E (pp) CD8A","0.366",,"0.9",,"0.959","0.417"
"21.402596190965443","pp","CD3E (pp) HLA-DPA1","false","pp","CD3E (pp) HLA-DPA1","0.145",,"0.9",,"0.922","0.167"
"19.212146174939978","pp","CD3E (pp) HLA-DPB1","false","pp","CD3E (pp) HLA-DPB1","0.106",,"0.9",,"0.918","0.162"
"3.019047619047619","pp","CD3E (pp) CD3G","false","pp","CD3E (pp) CD3G","0.564",,"0.9","0.379","0.994","0.826"
"70.59942555225221","pp","CTLA4 (pp) LCK","false","pp","CTLA4 (pp) LCK","0.098",,"0.9","0.384","0.989","0.829"
"13.498484848484848","pp","CTLA4 (pp) CD5","false","pp","CTLA4 (pp) CD5","0.209",,,,"0.718","0.659"
"58.08076167956689","pp","CTLA4 (pp) ITGAL","false","pp","CTLA4 (pp) ITGAL","0.102",,"0.9",,"0.967","0.668"
"25.547574767565617","pp","CTLA4 (pp) CD3E","false","pp","CTLA4 (pp) CD3E","0.306",,,,"0.75","0.654"
"20.2179945227966","pp","CTLA4 (pp) CD247","false","pp","CTLA4 (pp) CD247","0.169",,,,"0.742","0.703"
"18.83419913419913","pp","CTLA4 (pp) CD2","false","pp","CTLA4 (pp) CD2","0.342",,,,"0.842","0.77"
"14.629254079254077","pp","CTLA4 (pp) PRF1","false","pp","CTLA4 (pp) PRF1","0.157",,,,"0.813","0.788"
"64.93549783549784","pp","CTLA4 (pp) TIGIT","false","pp","CTLA4 (pp) TIGIT","0.132",,,,"0.704","0.673"
